번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
192,1998,유승준,나나나,,유승준,나나나,1998 V2: For Sale (NONE),1998,2026-08-28 15:25
193,1998,젝스키스,커플,,젝스키스,커플,Special,1998,2026-08-28 15:25
194,1998,조성모,To Heaven,,조성모,To Heaven,To Heaven,1998,2026-08-28 15:25
195,1998,조성모,불멸의 사랑,,조성모,불멸의 사랑,To Heaven,1998,2026-08-28 15:25
196,1998,코요태,순정,,코요태,순정,순정,1998,2026-08-28 15:25
197,1998,쿨,애상,Sorrow,쿨,애상,Cool 4,1998,2026-08-28 15:25
198,1998,핑클,내 남자친구에게,,핑클,내 남자 친구에게,Fine Killing Liberty : Blue Rain,1998,2026-08-28 15:25
199,1998,핑클,루비,루비 : 슬픈 눈물,핑클,루비 : 슬픈 눈물,Fine Killing Liberty : Blue Rain,1998,2026-08-28 15:25
200,1998,핑클,블루레인,Blue Rain,핑클,Blue Rain,Fine Killing Liberty : Blue Rain,1998,2026-08-28 15:25
201,1999,H.O.T.,아이야,,H.O.T.,아이야!,I yah! - The 4th Album,1999,2026-08-28 15:25
202,1999,S.E.S.,Twilight Zone,,S.E.S.,Twilight Zone,LOVE - The 3rd Album,1999,2026-08-28 15:25
203,1999,god,사랑해 그리고 기억해,,지오디,사랑해 그리고 기억해,Chapter 2,1999,2026-08-28 15:25
204,1999,god,어머님께,,지오디,어머님께,Chapter 1,1998,2026-08-28 15:25
205,1999,김현정,되돌아온 이별,,김현정,되돌아온 이별,A Sea Gull of Dream,1999,2026-08-28 15:25
206,1999,드렁큰타이거,너희가 힙합을 아느냐,Do You Know Hip Hop,드렁큰타이거,너희가 힙합을 아느냐?,Year of the Tiger,1999,2026-08-28 15:25
207,1999,박효신,해줄 수 없는 일,,박효신,해줄 수 없는 일,해줄 수 없는 일,1999,2026-08-28 15:25
208,1999,베이비복스,Killer,,베이비복스,Killer,Come Come Come baby,1997,2026-08-28 15:25
209,1999,신화,T.O.P,,신화,T.O.P. (Twinkling of paradise),T.O.P - The 2nd Album,1999,2026-08-28 15:25
210,1999,양파,Addio,,yangpa,Addio,양파 3집,1999,2026-08-28 15:25
211,1999,유승준,비전,,유승준,비전,Over and Over,1999,2026-08-28 15:25
212,1999,유승준,열정,,유승준,열정,Now or Never,1999,2026-08-28 15:25
213,1999,이정현,와,Wa,이정현,와,Let's Go To My Star,1999,2026-08-28 15:25
214,1999,조성모,슬픈 영혼식,,조성모,슬픈 영혼식,For Your Soul,1999,2026-08-28 15:25
215,1999,코요태,실연,,코요태,실연,실연,1999,2026-08-28 15:25
216,1999,핑클,영원한 사랑,,핑클,영원한 사랑,White,1999,2026-08-28 15:25
217,1999,핑클,자존심,,핑클,자존심,White,1999,2026-08-28 15:25
218,2000,god,거짓말,Lies,지오디,거짓말,Chapter 3,2000,2026-08-28 15:25
219,2000,김현정,멍,,김현정,멍,The Third Eye,2000,2026-08-28 15:25
220,2000,박지윤,성인식,,박지윤,성인식,성인식,2000,2026-08-28 15:25
221,2000,성시경,내게 오는 길,,성시경,내게 오는 길 (Bonus Track),처음처럼,2000,2026-08-28 15:25
222,2000,신화,Only One,,신화,Only One,Only One - The 3rd Album,2000,2026-08-28 15:25
223,2000,왁스,오빠,Oppa,왁스,오빠,왁스 1집 - 엄마의 일기,2000,2026-08-28 15:25
224,2000,이정현,너,,이정현,너,너,2000,2026-08-28 15:25
225,2000,자우림,매직 카펫 라이드,,자우림,매직 카펫 라이드,"Jaurim, The Wonder Land",2000,2026-08-28 15:25
226,2000,조성모,가시나무,,조성모,가시나무,Classic,2000,2026-08-28 15:25
227,2000,조성모,아시나요,,조성모,아시나요,Let Me Love,2000,2026-08-28 15:25
228,2000,포지션,I Love You,,포지션,I Love You,I Love You,2000,2026-08-28 15:25
229,2000,핑클,Now,,핑클,Now,Now,2000,2026-08-28 15:25
230,2001,god,길,Road,지오디,길,Chapter 4,2001,2026-08-28 15:25
231,2001,김현정,떠난 너,,김현정,떠난 너,Wild Beauty,2001,2026-08-28 15:25
232,2001,드렁큰타이거,Good Life,,드렁큰타이거,Good Life,The Legend Of…,2001,2026-08-28 15:25
233,2001,리치,사랑해 이 말밖엔,,리치,"사랑해, 이 말 밖엔...",I Have a Dream,2001,2026-08-28 15:25
