번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
109,2017,하백의 신부,하백,남주혁,소아,신세경,양다일,이렇게 좋은 이유,양다일,이렇게 좋은 이유,하백의 신부 2017 (Original Television Soundtrack)
110,2017,힘쎈여자 도봉순,도봉순,박보영,안민혁,박형식,브로맨스,사랑에 빠진 걸까요 (feat. 오브로젝트),브로맨스,사랑에 빠진 걸까요 (feat. 오브로젝트),"힘쎈여자 도봉순 (Original Television Soundtrack), Pt. 6 - Single"
111,2018,SKY 캐슬,한서진,염정아,김주영,김서형,하니,We All Lie,하진,We all lie,"SKY 캐슬, Pt. 4 (Original Television Soundtrack) - Single"
112,2018,기름진 멜로,서풍,이준호,단새우,정려원,백아연,너였었니,백아연,너였었니,"기름진 멜로 (Original Television Soundtrack), Pt. 3 - Single"
113,2018,김비서가 왜 그럴까,이영준,박서준,김미소,박민영,김나영,그대만 보여서,김나영,그대만 보여서,"김비서가 왜 그럴까 (Original Soundtrack), Pt. 5 - Single"
114,2018,나의 아저씨,박동훈,이선균,이지안,아이유,손디아,어른,Sondia,어른,"나의 아저씨 (Original Television Soundtrack) , Pt. 2 - Single"
115,2018,라이프 온 마스,한태주,정경호,윤나영,고아성,신해경,너는 어디쯤,신해경,너는 어디쯤,"라이프 온 마스, Pt. 2 (Original Television Soundtrack) - Single"
116,2018,미스터 션샤인,최유진,이병헌,고애신,김태리,멜로망스,좋은 날,멜로망스,좋은 날,미스터 션샤인 (Original Television Soundtrack)
117,2018,백일의 낭군님,이율,도경수,홍심,남지현,노유림,기약 없는 이별,노유림,기약 없는 이별,백일의 낭군님 (Original Television Soundtrack)
118,2018,뷰티 인사이드,서도재,이민기,한세계,서현진,케이윌,내 생에 아름다운,케이윌,내 생에 아름다운,뷰티 인사이드 (Original Television Soundtrack)
119,2018,스위치 세상을 바꿔라,사도찬,장근석,오하라,한예리,틴탑,Crazy,틴탑,Crazy,스위치 - 세상을 바꿔라 (Original Soundtrack)
120,2018,시크릿 마더,김윤진,송윤아,김소연,김소연,카더가든,Nothing,카더가든,Nothing,시크릿 마더 (Original Soundtrack) Part.1 - Single
121,2018,알함브라 궁전의 추억,유진우,현빈,정희주,박신혜,로꼬 & 유성은,별 (Little Prince),로꼬 & 유성은,별 (Little Prince),알함브라 궁전의 추억 (Original Television Soundtrack)
122,2018,훈남정음,강훈남,남궁민,유정음,황정음,허각,너 아니면,허각,너 아니면,"훈남정음 (Original Television Soundtrack), Pt. 4 - Single"
